                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3915,                 4.7053,                  2.859,                 1.6137,                0.00537,                0.89209,                0.16257,                0.07298,                0.00368,                0.61151,                 0.0646,                0.02355,                  1.332,                 4.6543,                 3.2723,                 1.8682,                0.00012,                0.00012,                0.00012
                      1,                 1.2074,                 3.9032,                 2.4738,                 1.4855,                0.00511,                0.84892,                0.30416,                0.16659,                0.00333,                0.55396,                0.16466,                0.07226,                 1.3615,                 4.6641,                 3.2031,                 1.8581,             0.00025743,             0.00025743,             0.00025743
                      2,                 1.2694,                 3.9804,                 2.1918,                 1.5694,                0.00524,                 0.8705,                0.30349,                0.17159,                0.00165,                0.27338,                0.03612,                0.01025,                  1.401,                 6.4922,                 3.1577,                 1.9013,             0.00039208,             0.00039208,             0.00039208
                      3,                  1.192,                 3.3919,                 2.1075,                 1.5019,                0.32149,                0.35252,                0.21122,                0.08339,                 0.0714,                0.30216,                0.06968,                0.01504,                 1.5718,                 5.0415,                 3.0867,                 2.1217,             0.00052396,             0.00052396,             0.00052396
                      4,                 1.3485,                 3.4109,                 2.1423,                 1.5671,                0.36991,                0.28058,                0.23412,                0.12312,                0.27506,                0.20863,                0.13528,                0.03965,                 1.2908,                 4.8647,                 3.0024,                 1.8257,             0.00065307,             0.00065307,             0.00065307
                      5,                 1.2528,                 3.3161,                 2.0097,                 1.5651,                0.41206,                0.33813,                0.25592,                0.11068,                0.19661,                0.17986,                0.07729,                0.01759,                 1.4893,                 6.6682,                 2.8517,                 2.0657,             0.00077941,             0.00077941,             0.00077941
                      6,                 1.3179,                 3.3476,                 2.0382,                 1.5633,                0.46039,                0.38129,                0.30426,                0.15424,                0.16291,                0.19424,                0.07642,                0.01581,                 1.6484,                 7.0903,                 3.0329,                 2.3559,             0.00090298,             0.00090298,             0.00090298
                      7,                 1.2807,                 3.3562,                 2.0089,                 1.5229,                0.46267,                0.38849,                0.34857,                0.16497,                0.37497,                0.23022,                0.16731,                  0.047,                 1.7745,                 6.3176,                 3.2414,                 2.6435,              0.0010238,              0.0010238,              0.0010238
                      8,                 1.2477,                 3.3299,                 2.0302,                 1.5157,                0.22906,                0.20522,                 0.1179,                 0.0406,                0.10003,                0.07914,                0.02264,                0.00538,                  2.079,                 7.8155,                 3.3689,                 2.6591,              0.0011418,              0.0011418,              0.0011418
                      9,                 1.3195,                 3.5325,                 2.0153,                 1.5636,                  0.323,                0.22302,                 0.1836,                0.07139,                0.24071,                0.20144,                0.12428,                0.03538,                 1.9763,                 5.3568,                 3.0038,                 2.6862,               0.001257,               0.001257,               0.001257
                     10,                 1.2626,                 3.4717,                 1.9716,                 1.5115,                 0.2711,                0.26619,                0.14829,                0.04513,                0.22869,                0.20265,                0.07865,                0.01678,                 2.1372,                 5.6637,                 3.0482,                 2.9387,              0.0013695,              0.0013695,              0.0013695
                     11,                 1.4122,                 3.4762,                 1.9098,                 1.6387,                0.10777,                0.18705,                0.06174,                0.01566,                0.04333,                0.08766,                0.01633,                0.00361,                  2.851,                 9.9065,                 3.3817,                 3.8705,              0.0014792,              0.0014792,              0.0014792
                     12,                 1.3793,                 3.3472,                  1.905,                 1.6051,                0.08926,                0.27498,                0.06217,                0.01698,                0.08037,                0.06475,                0.01904,                0.00499,                 2.7467,                 8.3264,                 3.6101,                 3.5115,              0.0015862,              0.0015862,              0.0015862
                     13,                 1.4151,                 3.3259,                 1.9648,                 1.6676,                0.42655,                0.28058,                0.24917,                0.08716,                0.18295,                0.28058,                0.12989,                0.03115,                 2.2543,                 6.7966,                 3.2323,                 3.2353,              0.0016903,              0.0016903,              0.0016903
                     14,                 1.4721,                 3.4903,                 1.9571,                 1.6924,                0.18993,                0.36691,                0.17513,                0.05263,                0.15928,                0.20863,                0.09594,                0.01954,                 2.3249,                 6.3765,                 3.5953,                  3.234,              0.0017228,              0.0017228,              0.0017228
                     15,                 1.4293,                 3.2477,                 1.9121,                 1.6694,                0.19363,                0.23022,                0.12092,                0.04099,                0.08771,                0.11511,                0.03224,                0.00921,                 2.3228,                 6.5671,                 4.1584,                 3.1459,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4677,                 3.3074,                 1.9496,                 1.7384,                 0.3336,                0.35252,                0.22774,                0.08092,                0.18289,                0.20144,                0.09881,                0.02507,                 2.0998,                 5.5339,                 4.1157,                 2.9985,               0.001703,               0.001703,               0.001703
                     17,                 1.3539,                 3.4108,                 1.8484,                 1.6167,                0.26886,                0.26619,                 0.1509,                0.03776,                0.17281,                0.15108,                0.05471,                0.01352,                  2.423,                 5.2361,                 4.8883,                 3.2828,              0.0016832,              0.0016832,              0.0016832
                     18,                   1.35,                 3.3362,                 1.8065,                 1.5644,                0.17588,                0.22302,                0.11258,                0.03119,                0.10436,                0.15108,                0.05163,                0.01129,                 2.5258,                 5.3515,                 4.7719,                 3.3886,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3187,                 3.1925,                 1.8281,                  1.585,                0.35552,                0.25899,                0.21157,                0.07178,                 0.2792,                0.20144,                0.12199,                0.03447,                 2.3048,                  4.394,                 4.2458,                 3.1696,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3464,                 3.2914,                  1.791,                 1.5953,                0.46315,                 0.3724,                0.31752,                0.13187,                0.39886,                0.26733,                 0.1823,                 0.0567,                 2.0137,                  4.678,                 3.9767,                 2.9216,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3095,                 3.3071,                 1.7984,                 1.5985,                0.56769,                0.44604,                0.37848,                0.15482,                0.42918,                0.33094,                0.21763,                0.05761,                 1.9361,                 5.6138,                 3.0075,                 2.8615,               0.001604,               0.001604,               0.001604
                     22,                 1.2722,                 3.1394,                 1.7823,                 1.5798,                0.25292,                0.41727,                 0.2217,                0.09529,                0.20991,                0.15108,                0.07396,                0.01897,                 1.8415,                 5.8855,                  3.151,                 2.5893,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2383,                 3.1588,                 1.7292,                 1.5157,                0.33679,                0.38129,                 0.2483,                0.11087,                0.14779,                0.18705,                0.06026,                0.01206,                 1.7759,                  5.809,                 4.1151,                 2.4888,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.2839,                 3.0815,                 1.6832,                 1.5753,                0.38277,                0.40288,                0.28207,                  0.109,                 0.1854,                0.20144,                0.08529,                  0.014,                 1.9025,                 5.7662,                 5.1138,                 2.7079,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.2937,                  3.052,                 1.7711,                 1.5805,                0.53056,                0.35971,                 0.3298,                0.12629,                0.37443,                0.30143,                0.21645,                0.07182,                 1.9552,                 5.0807,                 3.9293,                 2.8606,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3537,                 3.5197,                 1.7632,                 1.6778,                 0.5024,                0.38849,                0.36889,                0.15081,                0.35063,                0.29913,                0.22146,                0.06965,                 1.9625,                   4.43,                 3.1903,                 2.7482,               0.001505,               0.001505,               0.001505
                     27,                 1.3214,                  3.479,                 1.7228,                 1.6449,                0.36425,                0.36691,                0.26198,                0.11544,                0.24742,                 0.2518,                0.11951,                0.02565,                 1.8775,                  4.726,                 3.2687,                  2.476,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3297,                 3.2347,                  1.734,                 1.5919,                0.24959,                0.31826,                0.17504,                0.08252,                0.18189,                0.23193,                0.08403,                0.02013,                 1.7686,                 4.7686,                 3.7747,                  2.327,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3656,                 3.2183,                 1.7347,                 1.5699,                0.12788,                0.35252,                0.08874,                0.04161,                0.09646,                0.24346,                0.03559,                0.00962,                 1.6709,                 5.3136,                 4.3274,                 2.2539,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.2818,                 3.0772,                 1.7095,                 1.5423,                0.28865,                0.43885,                0.21096,                0.10735,                0.25955,                0.40288,                 0.1654,                0.04904,                 1.5805,                 4.5474,                 3.1096,                 2.2213,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.2615,                 2.9778,                 1.6694,                 1.5276,                0.32149,                0.35252,                0.21582,                 0.1062,                0.26304,                0.31842,                0.14853,                 0.0462,                 1.6679,                 4.7976,                 2.9289,                 2.2662,               0.001406,               0.001406,               0.001406
                     32,                 1.2803,                 3.0822,                 1.6207,                  1.537,                0.39693,                0.34532,                0.25123,                0.11758,                 0.3557,                0.26619,                0.16301,                0.04709,                 1.7547,                 5.2642,                 2.8434,                 2.3091,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2245,                 2.9424,                  1.542,                 1.4735,                0.49311,                0.35694,                0.29792,                0.12827,                0.34453,                0.23022,                0.14191,                0.03514,                 1.8942,                 5.5328,                 2.6351,                 2.4517,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3012,                 2.8964,                 1.5967,                 1.5459,                0.46619,                0.41727,                0.35421,                0.16874,                0.45305,                0.31655,                0.23158,                0.07612,                 1.7575,                 4.7692,                  2.343,                 2.3217,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2183,                 2.9241,                 1.5585,                 1.4777,                0.52164,                0.45324,                0.40723,                0.19756,                 0.4498,                0.35971,                0.26169,                0.09593,                 1.7282,                 4.8566,                 2.2248,                 2.3085,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2551,                 2.9325,                  1.546,                 1.5078,                0.50858,                0.40288,                0.36428,                0.16604,                0.46312,                0.30216,                0.23428,                0.07839,                 1.7468,                 4.8672,                 2.2841,                 2.2639,               0.001307,               0.001307,               0.001307
                     37,                 1.2128,                 2.9587,                 1.5526,                 1.5146,                0.39547,                0.41007,                0.27449,                0.11412,                0.34607,                0.26619,                0.17082,                0.04992,                 2.0334,                 4.7429,                 2.4369,                  2.483,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1778,                 2.8382,                 1.4374,                 1.4393,                0.31805,                 0.3741,                 0.2427,                0.08836,                0.26337,                0.23022,                0.12497,                0.03275,                 2.0517,                 4.8546,                 2.5665,                 2.3454,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1282,                 2.9206,                 1.4548,                 1.4383,                0.25121,                0.33813,                0.20688,                0.06536,                0.16683,                0.18705,                0.07176,                0.01679,                 2.1111,                 5.0614,                 2.6968,                 2.3685,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2177,                 2.7614,                 1.4987,                  1.462,                0.31896,                0.34532,                0.23823,                0.07731,                0.18337,                0.15827,                 0.0786,                0.02173,                 2.0474,                 5.0769,                 2.6486,                 2.3309,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2532,                 3.0922,                 1.6041,                 1.4969,                0.34853,                0.41007,                0.26315,                0.09483,                0.20311,                0.20144,                0.08965,                0.02404,                 1.9631,                 5.4337,                 2.6406,                 2.3185,               0.001208,               0.001208,               0.001208
                     42,                 1.2633,                 2.9417,                  1.521,                 1.4558,                0.29458,                0.39056,                0.23478,                0.09673,                0.16622,                0.19219,                 0.0857,                0.02666,                  1.939,                 5.8858,                 2.6286,                 2.3296,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1714,                 2.8849,                  1.449,                 1.4222,                0.32014,                0.41727,                0.26127,                0.11094,                0.20564,                0.30935,                0.14954,                0.04504,                 1.8239,                 5.4483,                 2.3386,                 2.3053,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1169,                 2.7879,                 1.3877,                 1.3943,                0.43693,                0.41007,                0.35095,                0.15545,                0.30715,                0.27338,                0.19239,                0.06929,                 1.7667,                 5.0021,                 2.1907,                  2.278,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1557,                 2.7744,                  1.468,                  1.444,                0.57328,                 0.5036,                0.48279,                0.23574,                0.49938,                0.37318,                0.34588,                0.10377,                 1.6661,                  4.365,                 2.0383,                 2.1975,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0317,                 2.7198,                 1.3867,                 1.3725,                0.59733,                0.52518,                0.49747,                 0.2247,                0.45139,                0.41007,                0.32069,                0.09659,                 1.6853,                 4.3148,                 1.9973,                 2.1727,               0.001109,               0.001109,               0.001109
                     47,                 1.0692,                 2.6347,                 1.2945,                 1.3683,                0.51253,                0.48201,                0.41558,                 0.1989,                0.38492,                0.35971,                0.21947,                0.05565,                 1.6321,                 4.6027,                 2.1088,                 2.1073,              0.0010892,              0.0010892,              0.0010892
