                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.1283,                 2.5806,                 1.3937,                 1.4224,                0.60309,                0.45324,                0.41332,                0.19678,                0.41595,                0.30216,                0.18788,                0.05096,                  1.578,                 4.8725,                 2.1281,                  2.054,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0497,                 2.6895,                 1.3564,                 1.3523,                0.66109,                0.49118,                0.44181,                0.23799,                0.49403,                0.36691,                0.24681,                0.08354,                 1.5156,                 4.5696,                 1.9316,                 2.0394,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1434,                 2.7827,                 1.3801,                 1.3735,                0.60296,                0.53957,                0.45492,                0.26232,                0.46629,                0.41727,                0.27923,                0.10098,                 1.5056,                 4.3702,                 1.8406,                 2.0851,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1117,                 2.7532,                 1.3265,                 1.4044,                 0.6196,                0.47482,                0.45418,                0.24348,                0.47894,                0.39016,                0.28769,                 0.0984,                 1.4972,                 4.2918,                 1.9377,                 2.0656,                0.00101,                0.00101,                0.00101
                     52,                 1.1019,                 2.6909,                 1.2763,                  1.375,                0.59551,                 0.4964,                0.44394,                0.24385,                0.50069,                0.34629,                0.28758,                0.10165,                 1.5023,                 4.3228,                 1.9658,                 2.0773,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1017,                 2.5192,                 1.3197,                 1.3597,                0.62543,                 0.4964,                0.44763,                0.24566,                0.48963,                0.40288,                0.30287,                0.10646,                 1.4991,                 4.3414,                 1.9819,                 2.0682,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1568,                 2.6179,                 1.3252,                 1.4183,                0.51675,                0.50775,                0.38334,                0.19214,                0.39898,                0.41727,                0.26754,                0.08909,                 1.5614,                 4.1091,                 2.0587,                 2.1108,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0054,                 2.4471,                  1.169,                 1.3176,                0.48522,                0.53237,                0.40091,                 0.2137,                0.39762,                0.39568,                0.25944,                0.08804,                 1.4567,                 4.2675,                 2.0074,                 2.0029,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0171,                 2.5503,                 1.2456,                 1.3163,                0.50085,                0.53237,                0.42049,                0.23627,                0.37944,                0.40288,                0.27374,                0.08669,                 1.4474,                 4.5255,                 1.9548,                 1.9625,               0.000911,               0.000911,               0.000911
                     57,                 1.0066,                 2.4564,                 1.2351,                 1.3518,                0.63753,                0.41727,                0.44152,                0.25169,                0.39638,                0.40288,                0.29688,                0.08292,                   1.45,                 4.8059,                 1.9451,                 2.0009,              0.0008912,              0.0008912,              0.0008912
                     58,                0.99711,                 2.5181,                  1.275,                 1.3245,                0.57125,                0.46043,                0.44266,                 0.2502,                0.46331,                 0.3741,                0.30066,                0.10168,                 1.5054,                 4.3582,                 1.9426,                 2.0425,              0.0008714,              0.0008714,              0.0008714
                     59,                0.92825,                 2.4637,                 1.1852,                 1.3029,                0.59692,                0.46763,                0.45323,                 0.2488,                0.48672,                0.38129,                0.31441,                0.11469,                 1.4728,                   4.16,                 1.8897,                 2.0286,              0.0008516,              0.0008516,              0.0008516
                     60,                0.97258,                  2.726,                 1.1985,                 1.3549,                0.47908,                0.53237,                0.43335,                0.22995,                0.46968,                0.40288,                0.28964,                0.10092,                 1.4941,                 4.1402,                 1.9685,                 2.0342,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0035,                 2.4212,                 1.2081,                 1.3056,                  0.496,                0.46763,                0.37373,                0.18564,                0.43495,                0.41007,                0.28693,                0.08498,                 1.5343,                 4.2599,                 2.0728,                 2.0395,               0.000812,               0.000812,               0.000812
                     62,                0.99223,                 2.5589,                 1.2047,                 1.3206,                0.47557,                0.48201,                0.36167,                0.17312,                0.41912,                0.42446,                0.25957,                0.07868,                 1.5433,                 4.3578,                 2.1622,                 2.0092,              0.0007922,              0.0007922,              0.0007922
                     63,                0.99088,                 2.5078,                 1.1986,                 1.3134,                0.48017,                0.44525,                0.32465,                0.15898,                0.38357,                0.38849,                0.22522,                0.07167,                 1.6124,                 4.4809,                 2.2264,                 2.0641,              0.0007724,              0.0007724,              0.0007724
                     64,                   1.01,                 2.4489,                 1.1863,                 1.2744,                0.46693,                0.48201,                0.33693,                0.17299,                0.37848,                0.38129,                0.22737,                0.07623,                 1.6181,                 4.5866,                 2.1741,                 2.0677,              0.0007526,              0.0007526,              0.0007526
                     65,                0.95484,                 2.3376,                 1.1319,                 1.3175,                0.53792,                0.48201,                 0.3893,                0.20707,                0.40282,                0.34532,                 0.2123,                0.06924,                 1.5893,                 4.9978,                 2.0217,                 2.0707,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0096,                 2.4367,                 1.1523,                 1.3177,                0.53606,                0.46763,                0.35985,                0.19044,                0.36778,                0.33813,                0.17613,                 0.0568,                 1.5855,                 5.4037,                 2.0761,                 2.1151,               0.000713,               0.000713,               0.000713
                     67,                0.92993,                 2.4472,                 1.1054,                 1.2632,                0.52872,                0.44604,                0.34924,                0.17744,                0.36993,                0.32104,                0.17775,                0.05973,                 1.6062,                 5.3134,                 2.1505,                 2.1786,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0188,                 2.3111,                 1.1352,                  1.325,                0.45821,                0.45324,                0.32633,                0.16664,                0.31439,                0.33094,                0.15793,                0.05875,                 1.6406,                 5.1738,                 2.2259,                 2.2005,              0.0006734,              0.0006734,              0.0006734
                     69,                0.98406,                 2.2689,                 1.1271,                 1.2972,                0.46427,                0.44891,                0.32268,                0.15749,                0.37168,                0.32374,                 0.1708,                0.06403,                 1.6433,                 4.9864,                 2.2487,                 2.1788,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0038,                 2.1696,                 1.1333,                 1.3051,                0.41585,                0.46763,                0.30514,                0.15438,                0.39475,                 0.3741,                0.21173,                0.07032,                 1.6369,                 4.9746,                 2.2627,                 2.1254,              0.0006338,              0.0006338,              0.0006338
                     71,                0.92131,                 2.2871,                 1.0748,                 1.2643,                0.45188,                0.46263,                0.32016,                0.16319,                0.36171,                0.37101,                0.21314,                 0.0707,                 1.5987,                 4.9729,                  2.178,                 2.0695,               0.000614,               0.000614,               0.000614
                     72,                 0.8961,                 2.1989,                 1.0452,                 1.2304,                0.47922,                0.45324,                0.34048,                0.17365,                0.37991,                0.35971,                0.22764,                0.07568,                 1.5805,                 4.9304,                 2.1257,                 2.0471,              0.0005942,              0.0005942,              0.0005942
                     73,                0.85278,                  2.261,                 0.9789,                 1.2296,                0.58436,                0.38129,                0.36769,                0.20219,                0.38834,                0.36691,                0.24645,                 0.0876,                 1.5587,                 4.8704,                  2.082,                 2.0318,              0.0005744,              0.0005744,              0.0005744
                     74,                0.88764,                 2.1912,                0.99274,                 1.2289,                0.51021,                0.44218,                0.38157,                0.21864,                0.41109,                0.35658,                0.26384,                0.08979,                 1.5197,                 4.8909,                 2.1157,                  2.001,              0.0005546,              0.0005546,              0.0005546
                     75,                0.90543,                 2.0679,                 1.0112,                 1.2567,                0.51646,                0.48921,                0.42667,                0.24609,                 0.4041,                0.39568,                0.28744,                0.09768,                 1.4809,                 4.8377,                 2.0021,                 2.0242,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.8823,                 2.1699,                0.97342,                   1.23,                0.53051,                0.48921,                0.43096,                0.24743,                0.49289,                0.33813,                0.29177,                0.09567,                 1.4886,                 4.8205,                 1.9792,                 2.0507,               0.000515,               0.000515,               0.000515
                     77,                0.88749,                 2.1733,                0.94413,                 1.2297,                0.54731,                 0.4784,                0.39467,                0.21699,                0.42436,                0.36065,                0.26308,                0.08019,                 1.5738,                 4.9856,                 2.1094,                 2.1386,              0.0004952,              0.0004952,              0.0004952
                     78,                0.90743,                 2.2785,                 1.0109,                 1.2451,                0.46623,                0.51079,                 0.3678,                0.18812,                0.43709,                0.33519,                0.24147,                0.07619,                 1.6059,                 5.0311,                  2.206,                 2.1468,              0.0004754,              0.0004754,              0.0004754
                     79,                0.88123,                 2.1188,                 1.0121,                 1.2531,                0.50612,                0.43165,                0.33835,                0.17192,                0.42295,                0.35252,                 0.2357,                0.08086,                 1.6114,                 5.0206,                 2.2369,                 2.1013,              0.0004556,              0.0004556,              0.0004556
                     80,                0.89766,                  2.188,                 0.9984,                 1.2223,                0.40445,                0.52518,                0.33177,                  0.167,                0.33056,                0.43696,                0.23454,                0.07993,                 1.6156,                 5.0684,                 2.2605,                 2.0871,              0.0004358,              0.0004358,              0.0004358
                     81,                0.88166,                 1.9862,                 1.0155,                 1.2438,                0.48241,                0.43885,                0.32772,                0.16302,                0.39536,                0.36691,                0.22588,                0.07531,                 1.6057,                 5.0924,                 2.2751,                 2.0551,               0.000416,               0.000416,               0.000416
                     82,                0.87344,                 2.0566,                0.93779,                 1.2142,                0.44395,                0.48201,                0.32288,                0.15124,                0.39763,                0.36691,                0.20077,                0.06839,                 1.5961,                 5.0782,                 2.3506,                 2.0487,              0.0003962,              0.0003962,              0.0003962
                     83,                0.80956,                 2.1106,                0.90449,                 1.1744,                0.51127,                  0.429,                 0.3099,                0.15081,                0.39371,                0.32374,                0.18525,                0.06735,                  1.602,                 4.8857,                 2.4086,                 2.0849,              0.0003764,              0.0003764,              0.0003764
                     84,                0.82534,                 2.0933,                0.89904,                 1.1777,                 0.5105,                0.42446,                0.31805,                0.15658,                0.37855,                0.34532,                0.19351,                0.07068,                 1.6049,                 4.8258,                 2.3724,                 2.1052,              0.0003566,              0.0003566,              0.0003566
                     85,                0.89727,                 2.1068,                0.95245,                 1.2314,                0.50444,                0.43165,                0.33417,                0.18181,                0.43319,                0.32374,                0.21011,                0.07368,                  1.516,                 4.8987,                   2.21,                 2.0435,              0.0003368,              0.0003368,              0.0003368
                     86,                0.82793,                  2.084,                0.92919,                 1.1897,                0.54311,                0.41727,                0.33293,                0.18683,                 0.4219,                0.32374,                0.21002,                 0.0728,                 1.4837,                 4.9392,                 2.1905,                 2.0181,               0.000317,               0.000317,               0.000317
                     87,                0.82354,                 1.9304,                0.92377,                 1.2177,                0.52286,                0.45324,                0.33947,                 0.1909,                  0.416,                0.35971,                0.22727,                0.07936,                 1.4776,                 4.8398,                 2.2091,                 2.0227,              0.0002972,              0.0002972,              0.0002972
                     88,                0.88883,                 2.0807,                0.97188,                  1.223,                0.53572,                0.43165,                0.34095,                  0.187,                0.40839,                0.36691,                0.23238,                0.08116,                 1.4843,                 4.7815,                 2.2319,                 2.0217,              0.0002774,              0.0002774,              0.0002774
                     89,                0.77953,                 1.8683,                0.88878,                 1.1992,                0.49916,                0.46043,                0.34125,                0.17698,                0.43444,                0.34532,                0.22541,                0.08024,                 1.4964,                 4.6761,                   2.27,                 2.0288,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.8536,                 2.0514,                0.96474,                 1.2236,                0.52317,                0.44604,                 0.3405,                0.17761,                 0.4137,                0.35252,                0.22584,                0.07701,                 1.5022,                 4.6524,                  2.276,                 2.0438,              0.0002378,              0.0002378,              0.0002378
                     91,                0.82984,                  2.017,                0.89156,                 1.1962,                0.53528,                 0.4392,                0.34545,                0.18264,                0.39351,                0.34543,                  0.221,                0.07863,                   1.51,                 4.7054,                 2.2735,                 2.0359,               0.000218,               0.000218,               0.000218
                     92,                0.80411,                 1.9161,                0.90545,                 1.1682,                0.49678,                0.44604,                0.34137,                0.17875,                0.38461,                0.34532,                 0.2064,                0.07593,                 1.5273,                 4.7504,                  2.278,                 2.0422,              0.0001982,              0.0001982,              0.0001982
                     93,                0.78324,                 1.8808,                 0.8695,                 1.1663,                0.53008,                0.43165,                0.34955,                0.17898,                  0.357,                0.35971,                0.20595,                0.07532,                 1.5418,                 4.8593,                 2.2672,                  2.051,              0.0001784,              0.0001784,              0.0001784
                     94,                0.81391,                 1.9776,                0.85284,                 1.1901,                0.52247,                0.42446,                0.34814,                0.17849,                 0.3746,                0.36691,                 0.2092,                0.07812,                 1.5412,                 4.9212,                 2.2483,                 2.0562,              0.0001586,              0.0001586,              0.0001586
                     95,                0.76924,                 1.8723,                0.82729,                 1.1448,                0.50142,                0.45324,                0.35021,                0.18747,                0.39841,                 0.3741,                 0.2132,                0.08084,                 1.5243,                 4.8871,                 2.2171,                 2.0431,              0.0001388,              0.0001388,              0.0001388
                     96,                0.81446,                 1.9204,                0.85997,                 1.1825,                0.49526,                0.44604,                0.35045,                0.18934,                0.39331,                0.39568,                0.22488,                0.08268,                 1.5184,                 4.9079,                 2.2067,                  2.033,               0.000119,               0.000119,               0.000119
                     97,                0.83041,                 2.0622,                0.84753,                 1.2118,                0.49245,                0.44604,                 0.3469,                0.19589,                0.40169,                0.36708,                 0.2275,                0.08338,                 1.5018,                 4.9104,                 2.2088,                 2.0242,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.75274,                 1.9209,                0.82733,                 1.1332,                0.50611,                0.46043,                0.35586,                0.20036,                0.42592,                0.38849,                  0.245,                0.08716,                 1.4766,                 4.8955,                 2.1915,                 2.0049,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.76982,                 1.8654,                 0.8143,                  1.149,                0.49898,                0.45856,                0.35327,                0.20134,                0.42859,                0.39568,                0.25875,                0.09083,                 1.4707,                 4.9028,                 2.1902,                 1.9968,               5.96e-05,               5.96e-05,               5.96e-05
